id,parent,region
0,,АВТОНОМНА РЕСПУБЛІКА КРИМ
1,,ВІННИЦЬКА ОБЛАСТЬ
2,,ВОЛИНСЬКА ОБЛАСТЬ
3,,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ
4,,ДОНЕЦЬКА ОБЛАСТЬ
5,,ЖИТОМИРСЬКА ОБЛАСТЬ
6,,ЗАКАРПАТСЬКА ОБЛАСТЬ
7,,ЗАПОРІЗЬКА ОБЛАСТЬ
8,,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ
9,,КИЇВСЬКА ОБЛАСТЬ
10,,КІРОВОГРАДСЬКА ОБЛАСТЬ
11,,ЛУГАНСЬКА ОБЛАСТЬ
12,,ЛЬВІВСЬКА ОБЛАСТЬ
13,,МИКОЛАЇВСЬКА ОБЛАСТЬ
14,,ОДЕСЬКА ОБЛАСТЬ
15,,ПОЛТАВСЬКА ОБЛАСТЬ
16,,РІВНЕНСЬКА ОБЛАСТЬ
17,,СУМСЬКА ОБЛАСТЬ
18,,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ
19,,ХАРКІВСЬКА ОБЛАСТЬ
20,,ХЕРСОНСЬКА ОБЛАСТЬ
21,,ХМЕЛЬНИЦЬКА ОБЛАСТЬ
22,,ЧЕРКАСЬКА ОБЛАСТЬ
23,,ЧЕРНІВЕЦЬКА ОБЛАСТЬ
24,,ЧЕРНІГІВСЬКА ОБЛАСТЬ
25,0,СІМФЕРОПОЛЬ
26,0,АЛУШТА
27,0,ДЖАНКОЙ
28,0,ЄВПАТОРІЯ
29,0,КЕРЧ
30,0,КРАСНОПЕРЕКОПСЬК
31,0,САКИ
32,0,АРМЯНСЬК
33,0,ФЕОДОСІЯ
34,0,СУДАК
35,0,ЯЛТА
36,0,АЛУПКА
37,0,БАХЧИСАРАЙ
38,0,БІЛОГІРСЬК
39,0,КІРОВСЬКЕ
40,0,СТАРИЙ КРИМ
41,0,КРАСНОГВАРДІЙСЬКЕ
42,0,ЛЕНІНЕ
43,0,ЩОЛКІНЕ
44,0,НИЖНЬОГІРСЬКИЙ
45,0,ПЕРВОМАЙСЬКЕ
46,0,РОЗДОЛЬНЕ
47,0,СОВЄТСЬКИЙ
